,State,District,Latitude,Longitude,Population,Male,Female,Literate,Male_Literate,Female_Literate,SC,Male_SC,Female_SC,ST,Male_ST,Female_ST,Workers,Male_Workers,Female_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Rural_Households,Urban_Households,Households,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Literate_Education,Illiterate_Education,Total_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Age not stated,Ownership_Owned_Households,Ownership_Rented_Households,Household_size_1_to_2_persons,Household_size_3_to_5_persons_Households,Household_size_6_8_persons_Households,Household_size_9_and_above,Sex Ratio
303,Manipur,Churachandpur,24.30309718875504,93.38671506024085,274143,138820,135323,195935,104013,91922,443,244,199,254787,126328,128459,122655,70594,52061,12034,2886,254979,152,495,87,2333,1177,13371,29894,837,4496,52972,4853,57825,32860,67907,65475,38567,23284,14523,509,243125,57561,300686,168608,67802,37096,637,42769,6655,5218,22736,17268,4694,975.0
304,Manipur,Senapati,25.08465586034914,94.03366234413956,479148,247323,231825,264477,148012,116465,1000,536,464,419210,214519,204691,233622,124143,109479,43833,1649,426819,140,2409,53,1243,3002,2430,22798,256,2170,38008,1826,39834,46757,81735,91395,62033,40438,24940,598,347896,191001,538897,314439,111516,52008,1185,33051,1017,2835,16797,13208,1647,937.0
305,Manipur,Tamenglong,24.98312942238265,93.49450740072204,140651,72371,68280,85006,47403,37603,22,17,5,134626,68226,66400,70675,37237,33438,2995,589,134760,59,425,57,1144,622,1229,11541,125,1362,23982,4119,28101,11155,28461,26794,17867,11645,7102,270,103294,45317,148611,90273,33290,16924,164,23804,352,1747,11219,9422,2089,943.0
306,Manipur,Thoubal,24.545392553191498,93.97959893617023,422168,210845,211323,269304,152617,116687,40593,20137,20456,1808,929,879,195319,109377,85942,267146,107323,4322,106,114,24,42347,786,15994,49507,880,5110,65961,38302,104263,32396,69738,87932,55803,37899,28550,3214,315532,118088,433620,251975,107196,62060,937,83390,873,6480,49873,25862,3080,1002.0
307,Manipur,Ukhrul,25.05900314960629,94.44129566929138,183998,94718,89280,129829,70148,59681,248,160,88,173606,87970,85636,87929,46533,41396,7553,1115,174112,108,635,70,32,373,1659,14026,276,2437,36084,5806,41890,20670,29382,38350,31734,22729,15636,405,158906,42156,201062,113715,43646,25165,1472,32455,2313,5017,15806,12397,2570,943.0
308,Meghalaya,East Garo Hills,25.82728228228228,90.64684924924916,317917,161223,156694,192147,102513,89634,509,304,205,305180,153861,151319,126073,72262,53811,17272,3359,289708,56,1004,38,5617,863,1839,24550,288,2368,62698,11518,74216,51578,70679,52762,31328,9473,2484,298,218602,100781,319383,216742,70424,29926,825,54960,2057,4950,26346,20576,5485,972.0
309,Meghalaya,East Khasi Hills,25.303763888888884,91.75922519841272,825922,410749,415173,578030,287270,290760,5642,2924,2718,661158,320048,341110,326786,204303,122483,144935,14185,543394,2495,3111,303,115597,1902,41496,135941,5032,19306,106248,108843,215091,118135,163729,127722,94579,58836,61639,9397,634037,168575,802612,545961,192428,86576,957,93999,59647,23444,76900,46821,13667,1011.0
310,Meghalaya,Jaintia Hills,25.33959557069844,92.37608160136298,395124,196285,198839,187527,87371,100156,1317,784,533,376099,185866,190233,154180,88839,65341,12456,1646,271596,34,284,45,107559,1504,7150,41677,510,4333,76546,7171,83717,67749,61526,34677,26748,13544,8039,2934,215217,165184,380401,291097,72934,30362,731,57268,6500,5770,23935,24677,10460,1013.0
311,Meghalaya,South Garo Hills,25.240568578553614,90.64560349127176,142334,73170,69164,82062,45003,37059,319,188,131,134237,68140,66097,53069,32826,20243,7036,1050,132984,27,332,10,362,533,482,10940,179,1625,35930,3713,39643,25906,28921,21506,13858,3998,826,831,95846,44849,140695,97082,30605,14495,152,22964,873,2219,9858,8929,3202,945.0
312,Meghalaya,West Garo Hills,25.495285185185185,90.03709947089942,643291,324159,319132,358702,193438,165264,8810,4535,4275,474009,236772,237237,255693,151914,103779,122936,106788,389956,209,3392,144,16950,2916,10006,51301,1630,8872,139351,18594,157945,85733,129178,90963,70941,29404,10856,3547,420622,208900,629522,427629,143604,70599,1459,113504,6163,12701,58500,41203,9376,984.0
313,Meghalaya,West Khasi Hills,25.500889926739926,91.25364542124538,383461,193715,189746,230678,117307,113371,168,93,75,375097,189134,185963,163345,89694,73651,6498,1533,366881,58,1313,38,5878,1262,476,32873,149,2462,74832,12299,87131,80318,78208,45046,28417,12295,6450,541,251275,133244,384519,278569,69988,33431,1473,59459,3555,5670,24288,23307,10355,980.0
314,Mizoram,Aizawl,23.90781335453101,92.85359459459472,400309,199270,201039,340595,169547,171048,627,388,239,373542,182517,191025,174636,104643,69993,13249,5264,379134,105,1570,76,505,406,64710,79804,4019,21093,20570,80341,100911,29332,68214,100103,78752,37701,31310,2058,347470,38248,385718,235892,108094,56092,231,40704,38953,11212,43041,22808,4851,1009.0
315,Mizoram,Champhai,23.54166580976866,93.24221799485862,125745,63388,62357,100802,51440,49362,17,16,1,123466,61954,61512,60342,34129,26213,1075,699,123446,9,151,45,194,126,9115,23948,186,2263,18395,12717,31112,14491,31359,30454,16259,4956,4087,78,101684,15449,117133,78778,29690,17189,88,19196,6021,3608,12517,7908,1627,984.0
316,Mizoram,Kolasib,24.2020004347826,92.73470391304348,83955,42918,41037,65895,34147,31748,84,59,25,73609,36917,36692,36672,22733,13939,4000,4426,75210,16,108,2,46,147,8787,14853,367,1986,9669,12507,22176,11367,18046,20399,9849,3473,2530,62,65726,14217,79943,52147,20576,11167,65,11439,5233,2474,8927,4932,963,956.0
317,Mizoram,Lawngtlai,22.36102843137253,92.66964156862753,117894,60599,57295,62861,36444,26417,146,105,41,112354,57044,55310,45566,28517,17049,1668,522,63892,52,51549,122,2,87,5213,9283,162,1329,21993,5273,27266,19890,21114,16629,10538,3763,2515,125,74574,54874,129448,80723,25303,11831,37,19088,3249,2478,11321,7639,1456,945.0
318,Mizoram,Lunglei,23.007717036172675,92.63512555425892,161428,82891,78537,121122,64515,56607,178,125,53,153533,77180,76353,78292,46230,32062,5231,1290,127124,74,27543,93,5,68,14037,26394,482,3725,21479,17315,38794,22181,33313,34774,19918,8503,5509,116,124314,32451,156765,100250,39690,21424,64,24286,7832,4460,16569,9832,1756,947.0
319,Mizoram,Mamit,23.73852942502819,92.4330803833147,86364,44828,41536,60191,32977,27214,51,42,9,82080,42075,40005,39339,24016,15323,2989,1782,69104,13,12328,25,19,104,4010,12158,90,1073,16726,4129,20855,9328,19711,19949,10756,3180,1771,22,64717,20091,84808,55914,20082,10318,50,13786,2921,2483,8670,5166,885,927.0
320,Mizoram,Saiha,22.35744801061008,93.02827931034489,56574,28594,27980,42233,21861,20372,83,52,31,54642,27226,27416,19461,12211,7250,933,514,54977,11,102,4,2,31,4783,7400,168,1194,7043,5784,12827,8422,14151,12130,7269,3628,2204,69,47873,8787,56660,37127,12784,6636,27,7767,2970,1242,4996,3809,867,979.0
321,Mizoram,Serchhip,23.263864705882344,92.914158496732,64937,32851,32086,54476,27598,26878,32,20,12,62889,31381,31508,32397,18261,14136,991,335,63444,6,60,9,35,57,5511,12315,131,987,7472,8018,15490,8771,14985,16237,9062,2915,2128,35,54133,5963,60096,39568,15894,9404,71,9272,3113,1709,5948,3988,935,977.0
322,Nagaland,Dimapur,25.814176811594223,93.75074057971014,378811,197394,181417,278037,150142,127895,0,0,0,223989,110892,113097,151350,99645,51705,108900,31212,234239,566,1270,2148,157,319,42378,71413,3303,12077,49116,62853,111969,34539,61815,80076,44343,26712,27532,2939,277956,58926,336882,243392,98601,36618,200,36263,33254,11627,40012,21726,3367,919.0
323,Nagaland,Kohima,25.60311428571428,93.78600657596373,267988,138966,129022,197489,107038,90451,0,0,0,224738,110617,114121,114825,68140,46685,25496,4384,234955,998,1519,80,335,221,20712,50724,1928,7982,31845,44255,76100,21654,46756,57726,30518,19855,23439,1770,201718,45802,247520,173701,68485,25557,245,30993,19010,9326,22915,16961,2934,928.0
324,Nagaland,Mokokchung,26.478911764705888,94.522426006192,194622,101092,93530,159494,83479,76015,0,0,0,178431,90567,87864,100067,57084,42983,9840,2057,181847,78,442,66,6,286,7236,40154,537,2728,37536,17742,55278,20259,43483,54035,27425,13077,10299,870,169448,22555,192003,111243,52853,30363,163,31404,8870,6656,21336,13619,733,925.0
325,Nagaland,Mon,26.69207374301676,95.03072988826828,250260,131753,118507,119626,67432,52194,0,0,0,238285,124343,113942,147654,79425,68229,8102,3444,236494,84,1256,314,1,565,1080,14398,178,2844,43607,7415,51022,37431,46055,30500,7628,3565,1772,107,127058,130529,257587,168773,53600,27437,450,36498,3623,3015,13754,20409,4169,899.0
326,Nagaland,Phek,25.63272986577182,94.56814563758392,163418,83743,79675,105893,57926,47967,0,0,0,157146,79536,77610,80277,41556,38721,3563,950,158224,31,350,17,198,85,2073,36182,170,1558,38903,7295,46198,22494,32722,30434,12785,7268,5926,481,112110,44456,156566,108514,37842,16969,93,30943,4878,9022,16854,10753,1262,951.0
327,Nagaland,Tuensang,26.21104453280316,94.85809880715708,196596,101933,94663,117511,63653,53858,0,0,0,190916,98212,92704,98154,52931,45223,2979,1052,191864,27,572,5,1,96,773,24998,155,2251,40690,9451,50141,29602,40900,33514,15013,6008,2760,116,127913,66450,194363,134573,43210,18762,51,33861,4402,3992,15138,17278,2579,929.0
328,Nagaland,Wokha,26.202611551155112,94.1990815181518,166343,84505,81838,128208,67385,60823,0,0,0,156621,78816,77805,78412,42096,36316,5605,2043,158236,34,318,8,20,79,3228,25268,198,1757,38499,8170,46669,15865,37024,41627,18746,10223,8030,401,131916,25048,156964,106951,40510,18811,71,28312,3203,3703,13080,15026,1460,968.0
